id;SEVERITY_classes;age_classes;day_week;DEFORMED_classes;m_harm_classes;hour;impact1_classes;lgt_cond;make;man_coll;month;p_crash1;pcrash4;pcrash5;rel_road;reljct1;reljct2;rest_use;sex;speedrel_classes;typ_int;valign;ve_total;vnum_lan;vsurcond;vtrafway;weather_classes
13489;0;9;7;4;1;22;1;3;10.0;1;4;1;2;2;1;0;2;2.0;1.0;1;2;3;1;3;2;2;1
18849;1;12;1;2;5;16;1;5;4.0;1;11;1;3;2;1;0;1;1.0;1.0;0;1;2;1;3;2;2;1
4930;0;6;4;4;4;19;13;1;2.0;1;7;8;2;3;4;0;1;3.0;1.0;0;1;4;1;3;2;2;1
18331;0;13;7;4;1;13;13;1;8.0;2;6;1;2;2;1;0;1;1.0;1.0;1;1;2;2;3;2;2;1
22281;0;3;5;4;1;8;12;1;2.0;5;3;1;2;2;1;0;1;1.0;2.0;0;1;2;2;6;2;4;1
11915;1;5;1;4;1;24;13;2;7.0;2;8;7;2;2;1;0;1;3.0;1.0;1;1;2;2;5;2;3;1
30498;1;5;5;4;1;11;22;1;10.0;5;6;7;2;2;1;0;1;4.0;1.0;0;1;2;2;4;2;6;1
89;0;2;7;4;1;9;18;1;2.0;4;11;1;2;2;1;0;8;3.0;1.0;0;1;2;2;3;2;2;1
16700;1;4;7;4;1;16;13;1;7.0;4;4;7;2;2;1;0;2;3.0;1.0;0;2;2;2;3;2;2;1
15377;1;13;7;4;1;7;18;1;7.0;1;1;8;2;3;3;0;1;2.0;1.0;0;1;2;1;6;2;4;1
9019;0;7;4;4;1;21;13;3;7.0;4;5;1;2;2;1;0;2;1.0;1.0;0;2;2;2;7;2;2;1
27769;1;7;6;4;1;21;13;2;11.0;1;6;1;2;2;1;0;1;2.0;1.0;0;1;2;1;3;2;2;1
24992;1;4;3;4;3;2;13;3;8.0;1;5;8;2;3;4;0;1;1.0;1.0;1;1;3;1;5;2;5;1
12947;1;5;5;4;1;14;4;1;7.0;4;5;1;2;2;1;0;2;1.0;1.0;0;3;2;2;5;2;2;1
14652;1;7;3;2;5;18;1;1;7.0;1;9;1;3;3;10;0;1;3.0;1.0;0;1;2;1;4;2;6;1
11212;0;4;1;4;1;3;13;2;10.0;1;6;8;2;3;4;0;1;1.0;1.0;0;1;3;2;3;2;2;1
24449;0;3;2;3;1;19;7;1;8.0;2;7;5;2;2;1;0;2;1.0;1.0;0;3;2;2;3;2;2;1
25321;1;4;7;4;1;18;21;3;8.0;5;12;7;2;2;1;0;1;2.0;1.0;0;1;2;2;6;2;4;1
5520;1;4;3;4;1;11;13;1;4.0;4;6;1;3;2;1;0;2;2.0;1.0;1;2;2;2;5;2;5;1
6633;1;11;7;4;1;10;2;1;8.0;4;1;1;2;2;1;0;2;1.0;1.0;0;2;2;2;3;2;2;1
10318;0;3;5;4;3;18;13;1;2.0;1;7;7;2;3;4;0;1;1.0;1.0;1;1;2;1;3;2;3;1
28726;0;8;6;2;5;6;15;4;7.0;1;8;8;2;3;4;0;1;3.0;1.0;0;1;4;1;4;2;4;1
32534;1;7;4;2;5;23;1;2;2.0;1;9;8;3;2;1;0;5;4.0;1.0;0;1;3;2;2;2;7;1
27715;1;7;1;2;5;15;1;1;6.0;1;12;7;2;3;4;0;1;2.0;1.0;0;1;4;1;3;2;2;1
33587;0;5;2;4;5;4;1;2;4.0;1;5;8;3;3;4;0;1;4.0;1.0;0;1;3;1;3;2;2;1
8406;1;8;5;4;1;7;13;1;2.0;4;9;1;2;2;1;0;2;1.0;1.0;0;2;2;2;3;2;2;1
11191;0;9;4;4;1;15;13;1;7.0;4;3;7;2;2;1;0;4;3.0;1.0;1;1;2;2;3;2;2;1
