id;Severity;age_classes;day_week;DEFORMED_classes;hour;impact1_classes;make;man_coll;month;reljct2;rest_use;vnum_lan;vtrafway
15647;0;6;1;3;16;13;1.0;3;9;3;2.0;3;2
30584;0;8;1;4;19;13;7.0;2;7;5;3.0;2;7
7517;0;3;1;4;20;12;4.0;4;3;2;1.0;3;3
16014;0;11;6;4;19;13;7.0;1;2;1;3.0;3;3
13296;0;8;1;4;18;13;7.0;1;4;1;1.0;3;2
6754;0;6;1;4;1;7;7.0;2;8;3;3.0;5;2
29548;0;8;7;2;20;13;7.0;4;10;2;4.0;5;5
6205;0;7;1;4;1;13;8.0;1;1;1;1.0;3;3
15098;1;7;5;4;16;13;7.0;2;9;3;2.0;3;2
17487;0;4;1;3;18;1;2.0;1;6;1;3.0;3;2
19927;1;9;3;4;15;13;8.0;4;4;2;3.0;3;2
12438;0;9;1;4;9;4;10.0;4;9;2;2.0;5;2
6353;0;2;2;4;22;13;8.0;4;10;2;1.0;6;5
24588;1;8;3;4;16;2;7.0;1;2;1;3.0;4;3
12857;0;4;1;4;3;13;10.0;1;7;2;2.0;5;2
27090;0;3;6;3;23;1;2.0;1;3;1;3.0;3;2
22201;0;3;5;3;20;13;8.0;2;7;1;1.0;3;2
4036;1;10;2;4;11;2;2.0;4;7;2;1.0;3;2
16965;1;7;5;1;23;4;7.0;4;9;2;3.0;3;5
29292;0;8;2;4;13;4;7.0;5;6;1;4.0;5;2
32137;0;7;5;4;23;13;7.0;1;10;1;4.0;3;2
17281;1;10;4;4;13;13;2.0;4;2;2;2.0;3;2
25177;0;6;7;4;9;12;7.0;5;7;2;1.0;4;6
17911;1;6;6;4;14;3;2.0;4;11;2;3.0;3;2
36155;1;12;7;4;17;1;7.0;1;2;2;1.0;6;5
1732;1;9;2;4;23;3;7.0;1;8;2;3.0;3;4
11102;1;11;5;4;10;13;7.0;4;4;2;3.0;3;2
426;1;7;2;4;16;13;10.0;4;4;2;2.0;3;3
8283;1;8;6;4;17;1;8.0;1;10;1;3.0;3;2
22959;0;4;7;4;12;7;7.0;2;6;12;3.0;3;4
13885;0;3;7;4;1;13;2.0;1;4;3;3.0;5;3
21021;0;6;2;3;9;13;4.0;4;7;8;3.0;5;2
31041;0;4;5;2;17;13;7.0;4;2;2;4.0;5;2
34332;0;9;6;4;10;13;8.0;4;6;8;4.0;5;2
3760;0;4;4;4;17;13;7.0;2;8;1;3.0;3;3
30340;0;7;2;3;16;1;2.0;1;4;1;4.0;5;2
12789;1;7;3;4;11;13;2.0;4;5;2;2.0;3;2
31488;0;5;1;4;2;7;7.0;2;1;1;4.0;7;4
32362;0;9;5;4;15;7;7.0;2;8;1;4.0;3;4
8639;1;4;2;4;21;13;8.0;1;4;1;2.0;4;3
22919;0;6;1;4;11;7;7.0;2;5;1;3.0;3;4
6595;0;7;1;4;15;4;7.0;4;10;1;1.0;3;2
13311;0;5;5;4;2;4;10.0;1;5;1;3.0;3;2
425;0;8;2;4;16;13;10.0;3;4;1;2.0;3;2
16089;1;6;6;4;23;13;7.0;2;2;1;3.0;3;4
1545;1;10;1;2;19;1;10.0;1;7;3;1.0;3;2
13112;1;4;1;4;2;13;8.0;2;11;1;1.0;4;4
13277;0;8;2;4;13;13;7.0;1;6;1;3.0;3;2
29944;1;9;3;3;17;1;7.0;1;8;1;1.0;4;4
12590;0;7;6;4;21;13;7.0;1;3;1;3.0;3;2
21187;0;5;5;4;13;13;4.0;2;8;3;2.0;3;2
865;0;3;5;4;16;1;4.0;1;8;3;1.0;4;3
1735;0;4;1;4;3;1;7.0;1;7;1;3.0;3;5
19847;1;12;7;4;18;13;5.0;4;6;8;1.0;5;5
1661;0;9;1;4;2;13;2.0;1;9;1;3.0;3;4
17086;1;9;6;3;20;13;4.0;3;6;8;3.0;3;2
10489;0;3;1;4;1;15;8.0;1;5;3;2.0;2;3
9338;0;7;1;3;1;13;7.0;2;6;3;3.0;4;3
19243;1;4;6;4;1;3;7.0;1;4;1;3.0;3;2
2081;1;4;2;4;8;13;4.0;3;8;1;1.0;3;2
27315;0;8;7;4;17;1;7.0;1;12;1;3.0;3;6
13543;0;8;7;4;12;13;2.0;4;7;8;3.0;3;2
21200;1;4;1;3;17;13;10.0;2;4;1;1.0;3;4
1908;1;10;4;4;17;13;7.0;4;8;8;3.0;3;2
16794;0;6;3;4;14;13;7.0;1;8;1;3.0;3;2
466;1;6;5;3;15;13;4.0;4;5;2;2.0;5;2
1289;1;9;7;4;17;13;7.0;1;7;1;3.0;3;3
12419;1;8;3;4;17;13;2.0;3;8;8;2.0;3;2
13441;1;5;7;4;13;13;7.0;4;10;1;3.0;3;2
12286;0;4;1;4;23;13;10.0;2;8;1;2.0;4;4
